股票代码_StkCd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_TMV_H
603063,2020/12/31,1.1962
603063,2021/01/29,1.3187
603063,2021/02/26,1.3449
603063,2021/03/31,1.3474
603063,2021/04/30,1.6053
603063,2021/05/31,1.4002
603063,2021/06/30,1.3862
603063,2021/07/30,0.5958
603063,2021/08/31,-0.0651
603063,2021/09/30,0.3725
603063,2021/10/29,0.1145
603063,2021/11/30,-2.0486
603063,2021/12/31,-2.2784
603066,2016/06/30,1.6782
603066,2016/07/29,1.7852
603066,2016/08/31,1.577
603066,2016/09/30,1.6656
603066,2016/10/31,1.7583
603066,2016/11/30,1.6637
603066,2016/12/30,1.795
603066,2017/01/26,2.1629
603066,2017/02/28,2.2306
603066,2017/03/31,0.9278
603066,2017/04/28,1.2406
603066,2017/05/31,1.3087
603066,2017/06/30,1.3968
603066,2017/07/31,1.0196
603066,2017/08/31,1.0796
603066,2017/09/29,1.4734
603066,2017/10/31,1.4954
603066,2017/11/30,1.1961
603066,2017/12/29,0.8783
603066,2018/01/31,0.5005
603066,2018/02/05,0.7003
603066,2018/05/31,0.6681
603066,2018/06/29,0.7006
603066,2018/07/31,0.7939
603066,2018/08/31,0.6792
603066,2018/09/28,1.1827
603066,2018/10/31,1.2745
603066,2018/11/30,1.2008
603066,2018/12/28,1.3246
603066,2019/01/31,1.0253
603066,2019/02/28,1.5542
603066,2019/03/29,1.6846
603066,2019/04/30,1.7304
603066,2019/05/31,1.6332
603066,2019/06/28,1.6289
603066,2019/07/31,1.5959
603066,2019/08/30,1.6653
603066,2019/09/30,1.5931
603066,2019/10/31,1.6823
603066,2019/11/29,1.7621
603066,2019/12/31,1.5608
603066,2020/01/23,1.6587
603066,2020/02/28,0.4385
603066,2020/03/31,0.7897
603066,2020/04/30,0.696
603066,2020/05/29,0.5021
603066,2020/06/30,0.4152
603066,2020/07/31,0.3651
603066,2020/08/31,0.3654
603066,2020/09/30,0.7175
603066,2020/10/30,0.7231
603066,2020/11/30,0.3935
603066,2020/12/31,0.3226
603066,2021/01/29,0.393
603066,2021/02/26,0.8932
603066,2021/03/31,0.8435
603066,2021/04/30,0.8275
603066,2021/05/31,0.9633
603066,2021/06/30,0.9816
603066,2021/07/30,1.0633
603066,2021/08/31,1.1891
603066,2021/09/30,0.8243
603066,2021/10/29,0.9298
603066,2021/11/30,1.3311
603066,2021/12/31,1.5125
603067,2017/09/29,2.563
603067,2017/10/31,1.8462
603067,2017/11/30,2.2958
603067,2017/12/29,2.5386
603067,2018/01/31,1.4459
603067,2018/02/28,0.8967
603067,2018/03/30,-0.2071
603067,2018/04/27,-0.2995
603067,2018/05/31,-0.3299
603067,2018/06/29,-1.3616
603067,2018/07/31,-1.939
603067,2018/08/31,-1.5993
603067,2018/09/28,-1.5904
603067,2018/10/31,-0.8651
603067,2018/11/30,-0.8609
603067,2018/12/28,-0.8125
603067,2019/01/31,-0.532
603067,2019/02/28,0.1374
603067,2019/03/29,0.5629
603067,2019/04/30,0.5557
603067,2019/05/31,0.5385
603067,2019/06/28,1.2019
