,yearmonth,trdsum,monfulturnr,monret,monrfret,pe,eps,roe,incomeps,beta
58,200511,73477919,5.8319,0.0041,0.001173,12.60,0.09,4.5127,8.19,0.7119
59,200512,42192051,3.3183,0.0574,0.001507,13.32,0.09,4.5127,8.19,0.7712
60,200601,40640385,3.8306,-0.1938,0.001507,11.72,0.09,4.5127,8.19,0.6365
61,200602,138974974,12.8222,0.0192,0.001466,11.95,0.09,4.5127,8.19,0.6413
62,200603,193651416,17.6991,0.0566,0.001453,12.63,0.09,4.5127,8.19,0.6280
63,200604,358596798,30.0452,0.0089,0.001548,12.18,0.03,1.7371,2.15,0.6052
64,200605,844501080,57.5255,0.3230,0.001672,16.12,0.03,1.7371,2.15,0.9033
65,200606,596085760,37.9415,0.0502,0.001811,16.93,0.03,1.7371,2.15,0.9863
66,200607,406304605,25.6481,-0.0255,0.001981,15.92,0.03,1.7371,2.15,0.9511
67,200608,190490209,13.0006,-0.0169,0.002051,15.65,0.06,3.2077,4.44,0.9847
68,200609,208366525,14.0346,0.0172,0.002067,15.92,0.06,3.2077,4.44,1.0700
69,200610,182635864,12.0380,-0.0203,0.002167,16.67,0.09,4.7742,7.37,1.0663
70,200611,228531458,15.7285,0.0276,0.002289,17.13,0.09,4.7742,7.37,0.9925
71,200612,630993283,40.0340,0.0369,0.002340,17.76,0.09,4.7742,7.37,0.8858
72,200701,1213009853,62.7318,0.2427,0.002340,20.77,0.09,4.7742,7.37,0.9042
73,200702,1235425910,51.6719,0.3411,0.002374,27.85,0.09,4.7742,7.37,0.9155
74,200703,1884499208,67.0500,0.1146,0.002364,31.04,0.09,4.7742,7.37,0.9234
75,200704,3653593078,83.6067,0.9077,0.002427,58.74,0.04,1.7291,2.23,1.4338
76,200705,4637171150,78.1924,-0.0338,0.002487,56.76,0.04,1.7291,2.23,1.4260
77,200706,2733950762,61.2600,-0.3951,0.002551,34.33,0.04,1.7291,2.23,1.5012
78,200707,1940001152,48.9499,0.5141,0.002620,47.95,0.04,1.7291,2.23,1.6506
79,200708,4330669988,82.5083,0.2701,0.002682,60.90,0.08,3.6175,4.73,1.6558
80,200709,4931318958,68.6830,0.2036,0.002934,73.30,0.08,3.6175,4.73,1.6658
81,200710,1233567691,20.2577,-0.2729,0.003250,54.17,0.12,5.5861,7.76,1.6069
