,date,close,dret,yearmonth
1786,2008-05-13,8.82,0.0115,200805
1787,2008-05-14,8.85,0.0034,200805
1788,2008-05-15,8.51,-0.0384,200805
1789,2008-05-16,8.25,-0.0306,200805
1790,2008-05-19,8.25,0.0000,200805
1791,2008-05-20,7.62,-0.0764,200805
1792,2008-05-21,7.85,0.0302,200805
1793,2008-05-22,8.01,0.0204,200805
1794,2008-05-23,8.57,0.0699,200805
1795,2008-05-26,7.79,-0.0910,200805
1796,2008-05-27,7.67,-0.0154,200805
1797,2008-05-28,7.88,0.0274,200805
1798,2008-05-29,7.55,-0.0419,200805
1799,2008-05-30,7.56,0.0013,200805
1800,2008-06-02,7.60,0.0053,200806
1801,2008-06-03,7.64,0.0053,200806
1802,2008-06-04,7.39,-0.0327,200806
1803,2008-06-05,7.29,-0.0135,200806
1804,2008-06-06,7.49,0.0274,200806
1805,2008-06-10,6.74,-0.1001,200806
1806,2008-06-11,6.27,-0.0697,200806
1807,2008-06-12,6.30,0.0048,200806
1808,2008-06-13,5.87,-0.0683,200806
1809,2008-06-16,5.60,-0.0460,200806
1810,2008-06-17,5.04,-0.1000,200806
1811,2008-06-18,5.53,0.0972,200806
1812,2008-06-19,5.00,-0.0958,200806
1813,2008-06-20,5.18,0.0360,200806
1814,2008-06-23,5.18,0.0000,200806
1815,2008-06-24,5.51,0.0637,200806
1816,2008-06-25,5.65,0.0472,200806
1817,2008-06-26,5.57,-0.0142,200806
1818,2008-06-27,5.08,-0.0880,200806
1819,2008-06-30,5.14,0.0118,200806
1820,2008-07-01,5.00,-0.0272,200807
1821,2008-07-02,5.05,0.0100,200807
1822,2008-07-03,5.25,0.0396,200807
1823,2008-07-04,5.19,-0.0114,200807
1824,2008-07-07,5.46,0.0520,200807
1825,2008-07-08,5.53,0.0128,200807
1826,2008-07-09,5.73,0.0362,200807
1827,2008-07-10,5.55,-0.0314,200807
1828,2008-07-11,5.60,0.0090,200807
1829,2008-07-14,5.99,0.0696,200807
1830,2008-07-15,5.83,-0.0267,200807
1831,2008-07-16,5.38,-0.0772,200807
1832,2008-07-17,5.39,0.0019,200807
1833,2008-07-18,5.57,0.0334,200807
1834,2008-07-21,5.77,0.0359,200807
1835,2008-07-22,5.77,0.0000,200807
1836,2008-07-23,6.08,0.0537,200807
1837,2008-07-24,6.23,0.0247,200807
1838,2008-07-25,6.11,-0.0193,200807
1839,2008-07-28,6.13,0.0033,200807
1840,2008-07-29,5.88,-0.0408,200807
1841,2008-07-30,5.81,-0.0119,200807
1842,2008-07-31,5.67,-0.0241,200807
1843,2008-08-01,5.79,0.0212,200808
1844,2008-08-04,5.61,-0.0311,200808
1846,2008-08-06,5.40,-0.0374,200808
1847,2008-08-07,5.47,0.0130,200808
1848,2008-08-08,4.92,-0.1005,200808
1849,2008-08-11,4.47,-0.0915,200808
1850,2008-08-12,4.36,-0.0246,200808
1851,2008-08-13,4.40,0.0092,200808
1852,2008-08-14,4.45,0.0114,200808
1853,2008-08-15,4.41,-0.0090,200808
1854,2008-08-18,3.97,-0.0998,200808
1855,2008-08-19,4.07,0.0252,200808
1856,2008-08-20,4.48,0.1007,200808
1857,2008-08-21,4.60,0.0268,200808
1858,2008-08-22,4.64,0.0087,200808
1859,2008-08-25,4.65,0.0022,200808
1860,2008-08-26,4.57,-0.0172,200808
1861,2008-08-27,4.48,-0.0197,200808
1862,2008-08-28,4.64,0.0357,200808
1863,2008-08-29,4.76,0.0259,200808
1864,2008-09-01,4.65,-0.0231,200809
1865,2008-09-02,4.79,0.0301,200809
1866,2008-09-03,4.70,-0.0188,200809
1867,2008-09-04,4.63,-0.0149,200809
1868,2008-09-05,4.33,-0.0648,200809
1869,2008-09-08,4.14,-0.0439,200809
1870,2008-09-09,4.17,0.0072,200809
1871,2008-09-10,4.31,0.0336,200809
1872,2008-09-11,4.25,-0.0139,200809
1873,2008-09-12,4.25,0.0000,200809
1874,2008-09-16,4.04,-0.0494,200809
1875,2008-09-17,3.91,-0.0322,200809
1876,2008-09-18,3.62,-0.0742,200809
1877,2008-09-19,3.98,0.0994,200809
1878,2008-09-22,4.16,0.0452,200809
1879,2008-09-23,3.81,-0.0841,200809
1880,2008-09-24,3.91,0.0262,200809
1881,2008-09-25,4.05,0.0358,200809
1882,2008-09-26,3.97,-0.0198,200809
1884,2008-10-06,3.73,-0.0605,200810
1885,2008-10-07,3.97,0.0643,200810
1886,2008-10-08,3.87,-0.0252,200810
1887,2008-10-09,3.78,-0.0233,200810
1888,2008-10-10,3.42,-0.0952,200810
1889,2008-10-13,3.45,0.0088,200810
1890,2008-10-14,3.21,-0.0696,200810
1891,2008-10-15,3.09,-0.0374,200810
1892,2008-10-16,2.92,-0.0550,200810
1893,2008-10-17,2.95,0.0103,200810
1894,2008-10-20,3.04,0.0305,200810
1895,2008-10-21,3.01,-0.0099,200810
1896,2008-10-22,3.02,0.0033,200810
1897,2008-10-23,3.03,0.0033,200810
1898,2008-10-24,2.96,-0.0231,200810
1899,2008-10-27,2.72,-0.0811,200810
1900,2008-10-28,2.82,0.0368,200810
1901,2008-10-29,2.74,-0.0284,200810
1902,2008-10-30,2.80,0.0219,200810
1903,2008-10-31,3.05,0.0893,200810
1904,2008-11-03,3.00,-0.0164,200811
1905,2008-11-04,2.80,-0.0667,200811
1906,2008-11-05,2.94,0.0500,200811
1907,2008-11-06,2.87,-0.0238,200811
1908,2008-11-07,2.96,0.0314,200811
1909,2008-11-10,3.13,0.0574,200811
1910,2008-11-11,3.08,-0.0160,200811
1911,2008-11-12,3.16,0.0260,200811
1912,2008-11-13,3.30,0.0443,200811
1913,2008-11-14,3.46,0.0485,200811
1914,2008-11-17,3.59,0.0376,200811
1915,2008-11-18,3.23,-0.1003,200811
1916,2008-11-19,3.55,0.0991,200811
1917,2008-11-20,3.58,0.0085,200811
1918,2008-11-21,3.47,-0.0307,200811
1919,2008-11-24,3.26,-0.0605,200811
1920,2008-11-25,3.23,-0.0092,200811
1921,2008-11-26,3.25,0.0062,200811
1922,2008-11-27,3.32,0.0215,200811
1923,2008-11-28,3.31,-0.0030,200811
1924,2008-12-01,3.42,0.0332,200812
1925,2008-12-02,3.57,0.0439,200812
1926,2008-12-03,3.93,0.1008,200812
1927,2008-12-04,3.82,-0.0280,200812
1928,2008-12-05,3.88,0.0157,200812
1929,2008-12-08,4.01,0.0335,200812
1930,2008-12-09,3.82,-0.0474,200812
1931,2008-12-10,3.94,0.0314,200812
1932,2008-12-11,3.96,0.0051,200812
1933,2008-12-12,4.08,0.0303,200812
1934,2008-12-15,4.18,0.0245,200812
1935,2008-12-16,4.00,-0.0431,200812
1936,2008-12-17,4.07,0.0175,200812
1937,2008-12-18,4.06,-0.0025,200812
1938,2008-12-19,4.10,0.0099,200812
1939,2008-12-22,4.07,-0.0073,200812
1940,2008-12-23,3.70,-0.0909,200812
1941,2008-12-24,3.63,-0.0189,200812
1942,2008-12-25,3.59,-0.0110,200812
1943,2008-12-26,3.58,-0.0028,200812
1944,2008-12-29,3.56,-0.0056,200812
1945,2008-12-30,3.54,-0.0056,200812
1946,2008-12-31,3.45,-0.0254,200812
1947,2009-01-05,3.59,0.0406,200901
1948,2009-01-06,3.75,0.0446,200901
1949,2009-01-07,3.73,-0.0053,200901
1950,2009-01-08,3.55,-0.0483,200901
1951,2009-01-09,3.63,0.0225,200901
1952,2009-01-12,3.70,0.0193,200901
1953,2009-01-13,3.56,-0.0378,200901
1954,2009-01-14,3.70,0.0393,200901
1955,2009-01-15,3.77,0.0189,200901
1956,2009-01-16,3.93,0.0424,200901
1957,2009-01-19,3.98,0.0127,200901
1958,2009-01-20,4.00,0.0050,200901
1959,2009-01-21,3.98,-0.0050,200901
1960,2009-01-22,4.07,0.0226,200901
1961,2009-01-23,3.90,-0.0418,200901
1962,2009-02-02,3.96,0.0154,200902
1963,2009-02-03,4.10,0.0354,200902
1964,2009-02-04,4.22,0.0293,200902
1965,2009-02-05,4.11,-0.0261,200902
1966,2009-02-06,4.30,0.0462,200902
1967,2009-02-09,4.61,0.0721,200902
1968,2009-02-10,4.82,0.0456,200902
