date,mkt,ten_return
2011/12/07 0:00,0.00315,-0.0659
2011/12/08 0:00,0.00125,-0.1404
2011/12/09 0:00,-0.00985,0.0679
2011/12/12 0:00,-0.01295,-0.0292
2011/12/13 0:00,-0.030849,0.0189
2011/12/14 0:00,-0.016849,-0.0066
2011/12/15 0:00,-0.023449,0.017
2011/12/16 0:00,0.028051,0.1782
2011/12/19 0:00,0.002351,0.0254
2011/12/20 0:00,-0.004449,-0.0056
2011/12/21 0:00,-0.024149,0.0085
2011/12/22 0:00,-0.010449,-0.0358
2011/12/23 0:00,0.00665,0.0198
2011/12/26 0:00,-0.01025,0.0292
2011/12/27 0:00,-0.02715,0.127
2011/12/28 0:00,-0.00535,0.0273
2011/12/29 0:00,0.00125,0.1052
2011/12/30 0:00,0.01895,0.1924
2012/01/04 0:00,-0.02775,-0.0459
2012/01/05 0:00,-0.03665,-0.0272
2012/01/06 0:00,0.00465,0.3065
2012/01/09 0:00,0.03835,0.0897
2012/01/20 0:00,0.016149,0.0261
2012/01/30 0:00,-0.00755,0.0252
2012/01/31 0:00,0.00005,-0.1211
2012/02/01 0:00,-0.00685,-0.2621
2012/02/02 0:00,0.019451,-0.043
2012/02/03 0:00,0.015051,-0.0094
2012/02/06 0:00,0.007851,-0.2536
2012/02/07 0:00,-0.017847,-0.0122
2012/02/08 0:00,0.028453,-0.1267
2012/02/10 0:00,0.005154,0.1291
2012/02/13 0:00,0.009755,0.1402
2012/02/14 0:00,-0.000245,-0.0254
2012/02/15 0:00,0.015155,-0.0348
2012/02/16 0:00,-0.003045,-0.0968
2012/02/17 0:00,-0.002845,0.0122
2012/02/20 0:00,0.002154,0.1534
2012/02/21 0:00,0.011655,-0.0451
2012/02/22 0:00,0.021955,0.0132
2012/02/23 0:00,0.004555,0.0179
2012/02/24 0:00,0.014455,0.0479
2012/02/27 0:00,0.002955,-0.2047
2012/02/28 0:00,-0.006645,0.0151
2012/02/29 0:00,-0.013345,0.1524
2012/03/01 0:00,0.003956,-0.0611
2012/03/02 0:00,0.021156,-0.1692
2012/03/05 0:00,0.000256,0.0443
2012/03/06 0:00,-0.009943,0.0367
2012/03/07 0:00,-0.005142,0.1289
2012/03/08 0:00,0.013559,0.0911
2012/03/09 0:00,0.01656,0.0253
2012/03/12 0:00,0.003761,0.0338
2012/03/13 0:00,0.011061,-0.0253
2012/03/14 0:00,-0.041938,-0.0544
2012/03/15 0:00,-0.008538,-0.0986
2012/03/16 0:00,0.022863,0.0122
2012/03/19 0:00,0.011164,0.0489
2012/03/20 0:00,-0.022836,-0.0319
2012/03/21 0:00,-0.000436,0.0395
2012/03/22 0:00,-0.002136,0.0254
2012/03/23 0:00,-0.018136,0.2103
2012/03/26 0:00,-0.000135,0.0365
2012/03/27 0:00,-0.005336,-0.0375
2012/03/28 0:00,-0.041935,0.0141
2012/03/29 0:00,-0.016835,0.2136
2012/03/30 0:00,-0.004034,0.0374
2012/04/05 0:00,0.031666,-0.0869
2012/04/06 0:00,0.006766,-0.0851
2012/04/09 0:00,-0.010933,-0.0262
2012/04/10 0:00,0.009767,-0.0047
2012/04/11 0:00,0.003367,-0.0234
2012/04/12 0:00,0.019967,-0.0478
2012/04/13 0:00,0.005767,0.1003
2012/04/16 0:00,-0.002032,0.0449
2012/04/17 0:00,-0.013832,0.0206
2012/04/18 0:00,0.021969,-0.0618
2012/04/19 0:00,-0.002531,-0.0075
2012/04/20 0:00,0.008469,0.0412
2012/04/23 0:00,-0.01913,0.0496
2012/04/24 0:00,-0.00923,0.0543
2012/04/25 0:00,0.008871,-0.0262
2012/04/26 0:00,-0.001929,0.0084
2012/04/27 0:00,-0.003229,0.0131
2012/05/02 0:00,0.017571,0.0421
2012/05/03 0:00,0.006171,0.0065
2012/05/04 0:00,0.010972,-0.0075
2012/05/07 0:00,0.009772,0.0598
2012/05/08 0:00,-0.001628,0.0308
2012/05/09 0:00,-0.018127,0.1074
2012/05/10 0:00,0.003773,0.0998
2012/05/11 0:00,-0.006827,0.2982
2012/05/14 0:00,-0.004725,0.1951
2012/05/15 0:00,-0.000624,0.1326
2012/05/16 0:00,-0.014623,0.7445
2012/05/17 0:00,0.014478,-0.444
2012/05/18 0:00,-0.015921,0.0979
2012/05/21 0:00,0.000579,0.0775
2012/05/22 0:00,0.01518,-0.1493
2012/05/24 0:00,-0.009718,0.143
2012/05/25 0:00,-0.012517,0.3684
2012/05/28 0:00,0.014684,-0.1248
2012/05/29 0:00,0.015484,-0.1764
2012/05/30 0:00,0.001284,0.0092
2012/05/31 0:00,0.003285,0.5513
2012/06/01 0:00,-0.000815,-0.2197
2012/06/04 0:00,-0.029415,-0.1339
2012/06/05 0:00,-0.002315,-0.0615
2012/06/06 0:00,-0.002014,0.011
2012/06/07 0:00,-0.004114,-0.0542
2012/06/08 0:00,-0.003713,0.4441
2012/06/11 0:00,0.018288,-0.3213
2012/06/12 0:00,-0.003812,0.0184
2012/06/13 0:00,0.018289,-0.0735
2012/06/14 0:00,-0.005611,-0.0386
2012/06/15 0:00,0.000189,0.0423
2012/06/18 0:00,0.010989,-0.1507
2012/06/19 0:00,-0.00731,0.0644
2012/06/20 0:00,-0.002011,-0.0092
2012/06/21 0:00,-0.014211,0.1922
2012/06/25 0:00,-0.026212,0.1368
2012/06/26 0:00,-0.001313,0.0678
2012/06/27 0:00,-0.000013,0.1255
2012/06/28 0:00,-0.010412,0.0421
2012/06/29 0:00,0.013688,0.1482
2012/07/02 0:00,0.012088,-0.0511
2012/07/03 0:00,0.003989,-0.0082
2012/07/04 0:00,-0.005311,0.0091
2012/07/05 0:00,-0.019211,-0.0055
2012/07/06 0:00,0.02289,0.3335
2012/07/09 0:00,-0.022609,0.2941
2012/07/10 0:00,-0.009508,0.0663
2012/07/11 0:00,0.008593,0.0209
2012/07/12 0:00,0.016294,0.0109
2012/07/13 0:00,-0.006305,-0.1823
2012/07/16 0:00,-0.037104,-0.0945
2012/07/17 0:00,0.004696,-0.0282
2012/07/18 0:00,0.002796,0.1128
2012/07/19 0:00,0.007996,-0.1254
2012/07/20 0:00,-0.008504,0.0237
2012/07/23 0:00,-0.010603,0.0619
2012/07/24 0:00,0.008297,0.0527
2012/07/25 0:00,-0.006703,-0.0436
2012/07/26 0:00,-0.007903,0.0891
2012/07/27 0:00,-0.005503,-0.0799
2012/07/30 0:00,-0.016503,0.0645
2012/07/31 0:00,-0.014202,-0.1799
2012/08/01 0:00,0.015098,0.1329
2012/08/02 0:00,-0.009002,-0.0418
2012/08/03 0:00,0.019499,0.0409
2012/08/06 0:00,0.022699,0.0591
2012/08/07 0:00,0.008,-0.0936
2012/08/08 0:00,-0.003,-0.1727
2012/08/09 0:00,0.015801,0.0246
2012/08/10 0:00,-0.003798,0.122
2012/08/13 0:00,-0.021098,-0.0036
2012/08/14 0:00,0.006702,0.0591
2012/08/15 0:00,-0.008098,-0.0473
2012/08/16 0:00,-0.008299,-0.0873
2012/08/17 0:00,-0.003699,-0.1001
2012/08/20 0:00,0.002401,-0.0446
2012/08/21 0:00,0.0137,-0.1367
2012/08/22 0:00,-0.0077,-0.1835
2012/08/23 0:00,0.005,-0.0256
2012/08/24 0:00,-0.0203,0.3969
2012/08/27 0:00,-0.022599,-0.0911
2012/08/28 0:00,0.0043,0.1587
2012/08/29 0:00,-0.0058,-0.2403
2012/08/30 0:00,-0.018099,0.2391
2012/08/31 0:00,0.0028,-0.1384
2012/09/03 0:00,0.0196,0.2197
2012/09/04 0:00,-0.0095,-0.3429
2012/09/05 0:00,0.0048,0.0383
2012/09/06 0:00,0.0099,-0.0228
2012/09/07 0:00,0.0384,-0.178
2012/09/10 0:00,0.0095,-0.2085
2012/09/11 0:00,-0.0037,0.1365
2012/09/12 0:00,0.0053,-0.2397
2012/09/13 0:00,-0.0147,-0.1504
2012/09/14 0:00,0.0012,-0.2471
2012/09/17 0:00,-0.0295,-0.1206
2012/09/18 0:00,-0.0057,0.2609
2012/09/19 0:00,0.0075,-0.0846
2012/09/20 0:00,-0.0304,0.3985
2012/09/21 0:00,-0.007601,-0.1861
2012/09/24 0:00,0.007899,0.2406
2012/09/25 0:00,-0.006301,0.0815
2012/09/26 0:00,-0.023301,0.2252
2012/09/27 0:00,0.026599,-0.1352
2012/09/28 0:00,0.019099,-0.0777
2012/10/08 0:00,-0.005701,-0.086
2012/10/09 0:00,0.027099,0.0165
2012/10/10 0:00,0.009699,0.0092
2012/10/11 0:00,-0.015401,-0.0531
2012/10/12 0:00,-0.002001,0.11
2012/10/15 0:00,-0.007501,-0.0137
2012/10/16 0:00,0.003099,-0.1538
2012/10/17 0:00,0.001699,-0.0834
2012/10/18 0:00,0.017799,0.134
2012/10/19 0:00,-0.001502,-0.0971
2012/10/22 0:00,0.005399,-0.111
2012/10/23 0:00,-0.014001,-0.0193
2012/10/24 0:00,-0.004301,-0.0165
2012/10/25 0:00,-0.010102,-0.0469
2012/10/26 0:00,-0.020902,0.0983
2012/10/29 0:00,-0.001402,-0.0927
2012/10/30 0:00,0.001598,0.0505
2012/10/31 0:00,0.004698,-0.0101
2012/11/01 0:00,0.018598,-0.1047
2012/11/02 0:00,0.002598,-0.0313
2012/11/05 0:00,-0.005002,-0.0101
2012/11/06 0:00,-0.006602,0.0331
2012/11/07 0:00,-0.002202,-0.0129
2012/11/08 0:00,-0.023902,-0.1177
2012/11/09 0:00,-0.004202,0.1354
2012/11/12 0:00,0.004897,0.0156
2012/11/13 0:00,-0.020003,0.0662
2012/11/14 0:00,0.002997,0.1342
2012/11/15 0:00,-0.016003,-0.0716
2012/11/16 0:00,-0.007403,0.281
2012/11/19 0:00,0.000796,0.228
2012/11/20 0:00,-0.002004,-0.0055
2012/11/21 0:00,0.010996,0.063
