

     Angle,       PSD,
   19.0584,       533,
   19.0684,       540,
   19.0784,       547,
   19.0883,       561,
   19.0983,       535,
   19.1083,       558,
   19.1183,       522,
   19.1282,       593,
   19.1382,       542,
   19.1482,       533,
   19.1582,       520,
   19.1681,       564,
   19.1781,       569,
   19.1881,       566,
   19.1981,       559,
    19.208,       556,
    19.218,       525,
    19.228,       500,
    19.238,       555,
   19.2479,       556,
   19.2579,       511,
   19.2679,       506,
   19.2779,       549,
   19.2879,       554,
   19.2978,       499,
   19.3078,       489,
   19.3178,       557,
   19.3278,       514,
   19.3377,       541,
   19.3477,       515,
   19.3577,       548,
   19.3677,       511,
   19.3776,       552,
   19.3876,       624,
   19.3976,       527,
   19.4076,       556,
   19.4175,       531,
   19.4275,       533,
   19.4375,       537,
   19.4475,       514,
   19.4574,       539,
   19.4674,       531,
   19.4774,       526,
   19.4874,       558,
   19.4974,       544,
   19.5073,       554,
   19.5173,       537,
   19.5273,       552,
   19.5373,       548,
   19.5472,       532,
   19.5572,       530,
   19.5672,       561,
   19.5772,       584,
   19.5871,       560,
   19.5971,       536,
   19.6071,       548,
   19.6171,       539,
    19.627,       542,
    19.637,       580,
    19.647,       550,
    19.657,       532,
   19.6669,       544,
   19.6769,       544,
   19.6869,       557,
   19.6969,       564,
   19.7069,       553,
   19.7168,       544,
   19.7268,       541,
   19.7368,       545,
   19.7468,       574,
   19.7567,       602,
   19.7667,       588,
   19.7767,       594,
   19.7867,       547,
   19.7966,       563,
   19.8066,       497,
   19.8166,       549,
   19.8266,       584,
   19.8365,       562,
   19.8465,       542,
   19.8565,       521,
   19.8665,       541,
   19.8764,       601,
   19.8864,       552,
   19.8964,       582,
   19.9064,       559,
   19.9164,       534,
   19.9263,       556,
   19.9363,       583,
   19.9463,       536,
   19.9563,       582,
   19.9662,       537,
   19.9762,       512,
   19.9862,       579,
   19.9962,       571,
   20.0061,       587,
   20.0161,       532,
   20.0261,       555,
   20.0361,       540,
    20.046,       573,
    20.056,       581,
    20.066,       564,
    20.076,       569,
   20.0859,       536,
   20.0959,       565,
   20.1059,       540,
   20.1159,       566,
   20.1259,       543,
   20.1358,       561,
   20.1458,       529,
   20.1558,       548,
   20.1658,       565,
   20.1757,       512,
   20.1857,       561,
   20.1957,       568,
   20.2057,       559,
   20.2156,       537,
   20.2256,       547,
   20.2356,       545,
   20.2456,       503,
   20.2555,       557,
   20.2655,       501,
   20.2755,       552,
   20.2855,       542,
   20.2954,       580,
   20.3054,       538,
   20.3154,       558,
   20.3254,       575,
   20.3354,       578,
   20.3453,       558,
   20.3553,       566,
   20.3653,       569,
   20.3753,       563,
   20.3852,       565,
   20.3952,       574,
   20.4052,       578,
   20.4152,       528,
   20.4251,       562,
   20.4351,       560,
   20.4451,       548,
   20.4551,       550,
    20.465,       557,
    20.475,       554,
    20.485,       555,
    20.495,       577,
   20.5049,       573,
   20.5149,       575,
   20.5249,       602,
   20.5349,       548,
   20.5449,       617,
   20.5548,       570,
   20.5648,       540,
   20.5748,       542,
   20.5848,       567,
   20.5947,       563,
   20.6047,       561,
   20.6147,       569,
   20.6247,       545,
   20.6346,       583,
   20.6446,       590,
   20.6546,       551,
   20.6646,       555,
   20.6745,       567,
   20.6845,       576,
   20.6945,       534,
   20.7045,       534,
   20.7144,       575,
   20.7244,       570,
   20.7344,       567,
   20.7444,       542,
   20.7544,       550,
   20.7643,       568,
   20.7743,       541,
   20.7843,       607,
   20.7943,       523,
   20.8042,       563,
   20.8142,       580,
   20.8242,       559,
   20.8342,       551,
   20.8441,       579,
   20.8541,       548,
   20.8641,       563,
   20.8741,       537,
    20.884,       597,
    20.894,       611,
    20.904,       562,
    20.914,       595,
   20.9239,       577,
   20.9339,       574,
   20.9439,       562,
