,yyyymm,Ret,Rfree,ExRet,DP,EP,VOL,BILL,BOND,TERM,CREDIT,PPIG,IPG,MA112,MA312,MOM6,DPL1,EPL1,VOLL1,BILLL1,BONDL1,TERML1,CREDITL1,PPIGL1,IPGL1,MA112L1,MA312L1,MOM6L1
333,195410,-0.017867,0.000817,-0.018684,-3.054677,-2.471112,0.145072,-0.000417,-0.000475,0.0170,0.0016,-0.342466,1.189020,1,1,1,-3.090114,-2.508393,0.157076,-0.001967,-0.000558,0.0179,0.0018,-0.341297,0.148849,1.0,1.0,1.0
334,195411,0.095774,0.000775,0.094999,-3.116877,-2.531539,0.171126,-0.000383,-0.000075,0.0176,0.0015,0.343643,1.615161,1,1,1,-3.054677,-2.471112,0.145072,-0.000417,-0.000475,0.0170,0.0016,-0.342466,1.189020,1.0,1.0,1.0
335,195412,0.054288,0.000958,0.053330,-3.151181,-2.564116,0.190147,-0.000458,-0.000258,0.0179,0.0018,-0.684932,1.300396,1,1,1,-3.116877,-2.531539,0.171126,-0.000383,-0.000075,0.0176,0.0015,0.343643,1.615161,1.0,1.0,1.0
336,195501,0.018076,0.001017,0.017059,-3.164763,-2.559415,0.177336,0.002117,0.001183,0.0171,0.0007,0.689655,2.282538,1,1,1,-3.151181,-2.564116,0.190147,-0.000458,-0.000258,0.0179,0.0018,-0.684932,1.300396,1.0,1.0,1.0
337,195502,0.013526,0.000975,0.012551,-3.164009,-2.540848,0.177557,0.002783,0.001675,0.0170,0.0001,0.342466,1.255559,1,1,1,-3.164763,-2.559415,0.177336,0.002117,0.001183,0.0171,0.0007,0.689655,2.282538,1.0,1.0,1.0
338,195503,-0.002242,0.001067,-0.003309,-3.154816,-2.514312,0.167322,0.002117,0.001192,0.0171,0.0014,-0.341297,2.341209,1,1,1,-3.164009,-2.540848,0.177557,0.002783,0.001675,0.0170,0.0001,0.342466,1.255559,1.0,1.0,1.0
339,195504,0.039843,0.001325,0.038518,-3.189715,-2.522484,0.164241,0.003008,0.001250,0.0162,0.0011,0.342466,1.211623,1,1,1,-3.154816,-2.514312,0.167322,0.002117,0.001192,0.0171,0.0014,-0.341297,2.341209,1.0,1.0,1.0
340,195505,0.006433,0.001208,0.005225,-3.186263,-2.493119,0.151092,0.005592,0.000883,0.0128,0.0017,-0.682594,1.595678,1,1,1,-3.189715,-2.522484,0.164241,0.003008,0.001250,0.0162,0.0011,0.342466,1.211623,1.0,1.0,1.0
341,195506,0.081300,0.001175,0.080125,-3.263228,-2.544922,0.179614,0.003617,0.001308,0.0148,0.0012,0.687285,0.130924,1,1,1,-3.186263,-2.493119,0.151092,0.005592,0.000883,0.0128,0.0017,-0.682594,1.595678,1.0,1.0,1.0
342,195507,0.057646,0.001333,0.056313,-3.311583,-2.581321,0.179232,0.002575,0.001725,0.0159,0.0006,0.000000,0.784045,1,1,1,-3.263228,-2.544922,0.179614,0.003617,0.001308,0.0148,0.0012,0.687285,0.130924,1.0,1.0,1.0
343,195508,-0.000648,0.001583,-0.002231,-3.293295,-2.551453,0.170098,0.003742,0.001558,0.0141,0.0010,0.341297,-0.129736,1,1,1,-3.311583,-2.581321,0.179232,0.002575,0.001725,0.0159,0.0006,0.000000,0.784045,1.0,1.0,1.0
344,195509,0.011286,0.001725,0.009561,-3.294235,-2.541190,0.144333,0.005925,0.001033,0.0108,0.0015,0.680272,0.649521,1,1,1,-3.293295,-2.551453,0.170098,0.003742,0.001558,0.0141,0.0010,0.341297,-0.129736,1.0,1.0,1.0
345,195510,-0.030468,0.001858,-0.032326,-3.259197,-2.492969,0.148892,0.006742,0.000258,0.0085,0.0018,0.000000,1.677391,1,1,1,-3.294235,-2.541190,0.144333,0.005925,0.001033,0.0108,0.0015,0.680272,0.649521,1.0,1.0,1.0
346,195511,0.087825,0.001867,0.085958,-3.327311,-2.548172,0.146016,0.007300,0.000383,0.0072,0.0015,-0.337838,0.253873,1,1,1,-3.259197,-2.492969,0.148892,0.006742,0.000258,0.0085,0.0018,0.000000,1.677391,1.0,1.0,1.0
347,195512,-0.000309,0.002117,-0.002426,-3.322576,-2.530799,0.126486,0.006308,0.000192,0.0071,0.0020,0.000000,0.379846,1,1,1,-3.327311,-2.548172,0.146016,0.007300,0.000383,0.0072,0.0015,-0.337838,0.253873,1.0,1.0,1.0
348,195601,-0.035057,0.002008,-0.037065,-3.267267,-2.487192,0.132630,0.008150,-0.000158,0.0038,0.0019,0.677966,0.630225,1,1,1,-3.322576,-2.530799,0.126486,0.006308,0.000192,0.0071,0.0020,0.000000,0.379846,1.0,1.0,1.0
349,195602,0.041397,0.001933,0.039464,-3.283561,-2.514906,0.142714,0.005858,-0.000067,0.0052,0.0015,0.336700,-0.876971,1,1,1,-3.267267,-2.487192,0.132630,0.008150,-0.000158,0.0038,0.0019,0.677966,0.630225,1.0,1.0,1.0
350,195603,0.070328,0.001875,0.068453,-3.333030,-2.575525,0.167347,0.004000,0.000808,0.0071,0.0007,0.335570,0.000000,1,1,1,-3.283561,-2.514906,0.142714,0.005858,-0.000067,0.0052,0.0015,0.336700,-0.876971,1.0,1.0,1.0
351,195604,-0.000637,0.002167,-0.002804,-3.317570,-2.581623,0.153163,0.002492,0.001433,0.0086,0.0013,0.668896,0.758731,1,1,1,-3.333030,-2.575525,0.167347,0.004000,0.000808,0.0071,0.0007,0.335570,0.000000,1.0,1.0,1.0
352,195605,-0.058414,0.002175,-0.060589,-3.236356,-2.521864,0.171969,0.005150,0.000133,0.0039,0.0029,0.664452,-0.878520,1,1,0,-3.317570,-2.581623,0.153163,0.002492,0.001433,0.0086,0.0013,0.668896,0.758731,1.0,1.0,1.0
353,195606,0.038910,0.002075,0.036835,-3.261722,-2.568575,0.156633,0.004283,0.000083,0.0038,0.0027,0.000000,-0.885850,1,1,1,-3.236356,-2.521864,0.171969,0.005150,0.000133,0.0039,0.0029,0.664452,-0.878520,1.0,1.0,0.0
354,195607,0.051427,0.001925,0.049502,-3.304583,-2.631863,0.154382,0.002183,0.001375,0.0064,0.0015,-0.330033,-3.065465,1,1,1,-3.261722,-2.568575,0.156633,0.004283,0.000083,0.0038,0.0027,0.000000,-0.885850,1.0,1.0,1.0
355,195608,-0.032788,0.002167,-0.034955,-3.258446,-2.606273,0.166011,-0.000208,0.002375,0.0094,0.0018,0.662252,4.084439,1,1,1,-3.304583,-2.631863,0.154382,0.002183,0.001375,0.0064,0.0015,-0.330033,-3.065465,1.0,1.0,1.0
356,195609,-0.044022,0.002367,-0.046389,-3.204645,-2.573142,0.177855,0.002108,0.002058,0.0064,0.0032,0.657895,2.278618,0,1,0,-3.258446,-2.606273,0.166011,-0.000208,0.002375,0.0094,0.0018,0.662252,4.084439,1.0,1.0,1.0
357,195610,0.006619,0.002417,0.004202,-3.227984,-2.583030,0.169226,0.003867,0.002250,0.0045,0.0030,0.000000,0.866114,0,0,0,-3.204645,-2.573142,0.177855,0.002108,0.002058,0.0064,0.0032,0.657895,2.278618,0.0,1.0,0.0
358,195611,-0.001921,0.002492,-0.004413,-3.235580,-2.576850,0.138146,0.003908,0.002333,0.0043,0.0036,0.326797,-0.858677,0,0,0,-3.227984,-2.583030,0.169226,0.003867,0.002250,0.0045,0.0030,0.000000,0.866114,0.0,0.0,0.0
359,195612,0.036284,0.002675,0.033609,-3.289216,-2.616389,0.151162,0.004183,0.003117,0.0046,0.0030,0.325733,1.485087,1,0,0,-3.235580,-2.576850,0.138146,0.003908,0.002333,0.0043,0.0036,0.326797,-0.858677,0.0,0.0,0.0
360,195701,-0.040238,0.002592,-0.042830,-3.248451,-2.574686,0.153036,0.005825,0.001117,0.0007,0.0049,0.649351,-0.365949,0,0,0,-3.289216,-2.616389,0.151162,0.004183,0.003117,0.0046,0.0030,0.325733,1.485087,1.0,0.0,0.0
361,195702,-0.024919,0.002583,-0.027502,-3.217184,-2.542474,0.147074,0.004242,0.000825,0.0017,0.0039,0.000000,0.979448,0,0,0,-3.248451,-2.574686,0.153036,0.005825,0.001117,0.0007,0.0049,0.649351,-0.365949,0.0,0.0,0.0
362,195703,0.023827,0.002567,0.021260,-3.238565,-2.562911,0.130250,0.003492,0.000892,0.0021,0.0035,0.000000,-0.121243,0,0,0,-3.217184,-2.542474,0.147074,0.004242,0.000825,0.0017,0.0039,0.000000,0.979448,0.0,0.0,0.0
363,195704,0.046538,0.002558,0.043980,-3.274852,-2.597238,0.146857,0.002600,0.002008,0.0037,0.0022,0.322581,-1.335297,0,0,1,-3.238565,-2.562911,0.130250,0.003492,0.000892,0.0021,0.0035,0.000000,-0.121243,0.0,0.0,0.0
