,yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,PPIG,IPG,DP,EP,VOL,BILL,BOND,TERM,CREDIT,MA112,MA312,MOM6,ExRet
106,187911,4.93,0.1983,0.3742,,,,,,,0.004252,,,,,,,,,,-3.213313,-2.578304,,,,,,1,1,1,
107,187912,4.92,0.2000,0.3800,,,,,,,0.004030,,,,,,,,,,-3.202746,-2.560893,,,,,,1,1,1,
108,188001,5.11,0.2050,0.3892,,,,,,,0.003610,,,,,,,,,,-3.215945,-2.574861,,,,,,1,1,1,
109,188002,5.20,0.2100,0.3983,,,,,,,0.003558,,,,,,,,,,-3.209306,-2.569208,,,,,,1,1,1,
110,188003,5.30,0.2150,0.4075,,,,,,,0.003698,,,,,,,,,,-3.204824,-2.565421,,,,,,1,1,1,
111,188004,5.18,0.2200,0.4167,,,,,,,0.003698,,,,,,,,,,-3.158933,-2.520194,,,,,,1,1,1,
112,188005,4.77,0.2250,0.4258,,,,,,,0.003469,,,,,,,,,,-3.054001,-2.416132,,,,,,1,1,0,
113,188006,4.79,0.2300,0.4350,,,,,,,0.002997,,,,,,,,,,-3.036206,-2.398940,,,,,,1,1,0,
114,188007,5.01,0.2350,0.4442,,,,,,,0.002916,,,,,,,,,,-3.059606,-2.422916,,,,,,1,1,0,
115,188008,5.19,0.2400,0.4533,,,,,,,0.003351,,,,,,,,,,-3.073850,-2.437935,,,,,,1,1,0,
116,188009,5.18,0.2450,0.4625,,,,,,,0.003514,,,,,,,,,,-3.051302,-2.415914,,,,,,1,1,0,
117,188010,5.33,0.2500,0.4717,,,,,,,0.003418,,,,,,,,,,-3.059646,-2.424763,,,,,,1,1,1,
118,188011,5.61,0.2550,0.4808,,,,,,,0.003654,,,,,,,,,,-3.091042,-2.456855,,,,,,1,1,1,
119,188012,5.84,0.2600,0.4900,,,,,,,0.004067,,,,,,,,,,-3.111804,-2.478081,,,,,,1,1,1,
120,188101,6.19,0.265,0.4858,,,,,,,0.003514,,,,,,,,,,-3.150961,-2.544893,,,,,,1,1,1,
121,188102,6.17,0.270,0.4817,,,,,,,0.003610,,,,,,,,,,-3.129032,-2.550133,,,,,,1,1,1,
122,188103,6.24,0.275,0.4775,,,,,,,0.003735,,,,,,,,,,-3.121964,-2.570171,,,,,,1,1,1,
123,188104,6.22,0.280,0.4733,,,,,,,0.003469,,,,,,,,,,-3.100736,-2.575796,,,,,,1,1,1,
124,188105,6.50,0.285,0.4692,,,,,,,0.002636,,,,,,,,,,-3.127068,-2.628528,,,,,,1,1,1,
125,188106,6.58,0.290,0.4650,,,,,,,0.002222,,,,,,,,,,-3.121909,-2.649753,,,,,,1,1,1,
126,188107,6.35,0.295,0.4608,,,,,,,0.002591,,,,,,,,,,-3.069235,-2.623246,,,,,,1,1,1,
127,188108,6.20,0.300,0.4567,,,,,,,0.003292,,,,,,,,,,-3.028522,-2.608278,,,,,,1,1,1,
128,188109,6.25,0.305,0.4525,,,,,,,0.003838,,,,,,,,,,-3.020025,-2.625549,,,,,,1,1,1,
129,188110,6.15,0.310,0.4483,,,,,,,0.004252,,,,,,,,,,-2.987635,-2.618745,,,,,,0,1,0,
130,188111,6.19,0.315,0.4442,,,,,,,0.004289,,,,,,,,,,-2.978118,-2.634415,,,,,,0,0,0,
131,188112,6.01,0.320,0.4400,,,,,,,0.004252,,,,,,,,,,-2.932859,-2.614405,,,,,,0,0,0,
132,188201,5.92,0.320,0.4392,,,,,,,0.003698,,,,,,,,,,-2.917771,-2.601137,,,,,,0,0,0,
133,188202,5.79,0.320,0.4383,,,,,,,0.003676,,,,,,,,,,-2.895567,-2.580984,,,,,,0,0,0,
134,188203,5.78,0.320,0.4375,,,,,,,0.003801,,,,,,,,,,-2.893838,-2.581082,,,,,,0,0,0,
135,188204,5.78,0.320,0.4367,,,,,,,0.003373,,,,,,,,,,-2.893838,-2.582913,,,,,,0,0,0,
136,188205,5.71,0.320,0.4358,,,,,,,0.003219,,,,,,,,,,-2.881653,-2.572791,,,,,,0,0,0,
137,188206,5.68,0.320,0.4350,,,,,,,0.003418,,,,,,,,,,-2.876386,-2.569360,,,,,,0,0,0,
138,188207,6.00,0.320,0.4342,,,,,,,0.003049,,,,,,,,,,-2.931194,-2.626009,,,,,,1,0,1,
139,188208,6.18,0.320,0.4333,,,,,,,0.003809,,,,,,,,,,-2.960753,-2.657643,,,,,,1,1,1,
140,188209,6.24,0.3200,0.4325,,,,,,,0.004621,,,,,,,,,,-2.970414,-2.669153,,,,,,1,1,1,
141,188210,6.07,0.3200,0.4317,,,,,,,0.004562,,,,,,,,,,-2.942793,-2.643383,,,,,,1,1,1,
142,188211,5.81,0.3200,0.4308,,,,,,,0.004436,,,,,,,,,,-2.899015,-2.601692,,,,,,0,1,1,
143,188212,5.84,0.3200,0.4300,,,,,,,0.003979,,,,,,,,,,-2.904165,-2.608701,,,,,,0,1,1,
144,188301,5.81,0.3208,0.4275,,,,,,,0.003698,,,,,,,,,,-2.896518,-2.609382,,,,,,0,0,0,
